16,16,2,



01,02,02,02,02,02,02,02,02,05,05,05,06,00,00,00,

07,17,17,17,17,17,17,17,17,17,17,17,12,00,00,00,

13,08,09,09,09,09,09,09,10,17,17,17,18,00,00,00,

07,14,15,15,15,15,15,15,16,17,17,17,12,00,00,00,

13,14,15,15,15,15,15,15,16,08,28,29,30,00,00,00,

07,14,15,15,15,15,15,15,16,20,04,05,06,00,00,00,

07,14,15,15,15,15,15,15,16,17,17,17,18,00,00,00,

13,14,15,15,15,15,15,15,16,17,17,17,12,00,00,00,

07,20,21,21,21,21,21,21,22,17,17,17,12,00,00,00,

25,26,26,26,26,26,26,26,26,27,27,27,30,00,00,00,

00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,

01,03,03,06,00,01,02,02,02,06,00,00,00,00,00,00,

13,08,29,30,00,13,23,08,09,24,00,00,00,01,06,00,

07,18,00,00,00,13,23,14,15,24,00,00,00,25,30,00,

25,30,00,00,00,25,26,28,29,30,00,00,00,00,00,00,

00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,



00,00,00,00,00,00,00,00,00,00,00,01,04,04,04,06,

00,00,00,00,00,00,00,00,00,00,00,19,17,14,16,18,

00,00,00,00,00,00,00,00,00,00,00,25,27,27,29,30,

00,00,00,01,04,04,05,05,05,05,06,00,00,00,00,00,

00,00,00,07,17,08,09,09,10,17,18,00,00,00,00,00,

00,00,00,13,17,20,21,21,22,17,18,00,00,00,00,00,

00,00,00,25,27,29,27,27,27,27,30,00,00,00,00,00,

00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,

00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,

00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,

00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,

00,00,00,00,00,00,00,00,00,00,00,00,01,06,01,06,

01,05,06,00,00,00,00,00,00,00,00,00,25,30,25,30,

25,27,30,00,00,00,00,01,04,04,06,00,01,06,01,06,

00,00,00,00,00,00,00,07,17,17,12,00,25,30,25,30,

00,00,00,00,00,00,00,25,26,26,30,00,00,00,00,00,

