21,21,0,0,9,11,



04,04,00,00,00,05,00,00,01,00,05,00,01,00,00,05,00,00,00,04,04

04,04,00,00,00,00,00,00,01,00,00,00,01,00,00,00,00,00,00,04,04

00,00,00,00,00,01,05,00,01,01,01,01,01,00,05,01,00,00,00,00,00

00,00,00,00,00,01,05,00,00,00,00,00,00,00,05,01,00,00,00,00,00

00,00,00,00,05,01,01,01,01,01,01,01,01,01,01,01,05,00,00,00,00

00,00,00,00,05,00,00,00,00,00,00,00,00,00,00,00,05,00,00,00,00

05,05,01,00,05,05,05,05,05,00,00,00,05,05,05,05,05,00,01,05,05

05,05,01,04,04,00,01,00,01,00,00,00,01,00,01,00,04,04,01,05,05

05,05,01,04,04,00,01,00,00,00,01,00,00,00,01,00,04,04,01,05,05

00,00,01,01,01,01,01,00,00,01,00,01,00,00,01,01,01,01,01,00,00

01,00,01,01,01,00,05,00,01,00,00,00,01,00,05,00,01,01,01,00,01

00,01,00,01,00,00,05,00,00,01,01,01,00,00,05,00,00,01,00,01,00

00,00,01,01,00,00,00,00,00,00,01,00,00,00,00,00,00,01,01,00,00

01,01,01,00,00,00,00,00,00,00,01,00,00,00,00,00,00,00,01,01,01

01,01,01,00,00,01,01,00,05,05,00,05,05,00,01,01,00,00,01,01,01

04,04,01,00,05,01,01,00,00,00,00,00,00,00,01,01,05,00,01,04,04

04,04,01,00,05,01,01,00,00,00,00,00,00,00,01,01,05,00,01,04,04

00,00,01,00,00,01,01,01,01,00,00,00,01,01,01,01,00,00,01,00,00

01,01,01,00,00,00,00,00,00,01,01,01,00,00,00,00,00,00,01,01,01

05,05,05,05,05,05,05,00,00,01,02,01,00,00,05,05,05,05,05,05,05

05,05,05,05,05,05,05,00,00,00,01,00,00,00,05,05,05,05,05,05,05
