21,21,0,0,0,20,



00,01,01,00,00,05,04,00,00,00,04,00,00,00,04,05,00,00,01,01,00

01,01,01,00,00,01,01,01,01,01,01,01,01,01,01,01,00,00,01,01,01

01,01,01,00,00,01,00,00,00,00,00,00,00,00,00,01,00,00,01,01,01

00,00,00,00,00,01,00,00,00,00,00,00,00,00,00,01,00,00,00,00,00

05,05,05,05,05,04,05,05,05,05,05,05,05,05,05,04,05,05,05,05,05

00,00,05,05,01,00,01,00,00,00,04,00,00,00,01,00,01,05,05,00,00

00,00,05,05,01,00,00,01,00,01,01,01,00,01,00,00,01,05,05,00,00

04,00,05,05,01,01,01,00,01,00,00,00,01,00,01,01,01,05,05,00,04

00,00,05,05,01,01,01,01,00,01,01,01,00,01,01,01,01,05,05,00,00

00,00,00,05,01,01,01,01,01,01,01,01,01,01,01,01,01,05,00,00,00

00,00,00,00,05,00,00,00,00,00,00,00,00,00,00,00,05,00,00,00,00

01,01,01,01,05,01,00,00,00,00,00,00,00,00,00,01,05,01,01,01,01

01,01,01,01,05,00,01,00,00,00,00,00,00,00,01,00,05,01,01,01,01

01,01,01,01,05,00,00,01,01,01,01,01,01,01,00,00,05,01,01,01,01

01,01,01,01,05,00,00,00,00,00,04,00,00,00,00,00,05,01,01,01,01

00,00,00,00,05,00,00,03,03,03,03,03,03,03,00,00,05,00,00,00,00

00,00,00,00,05,00,00,03,03,03,03,03,03,03,00,00,05,00,00,00,00

00,05,01,00,05,00,00,03,03,03,03,03,03,03,00,00,05,00,01,05,00

00,00,00,00,05,00,00,03,03,03,02,03,03,03,00,00,05,00,00,00,00

04,00,00,00,05,00,04,03,03,03,03,03,03,03,04,00,05,00,00,00,04

04,00,00,00,05,00,00,03,03,03,03,03,03,03,00,00,05,00,00,00,04
