15,11,50,100,0,14,



00,01,01,01,00,00,01,01,01,00,00,01,01,01,00

01,01,00,00,01,00,01,00,01,00,01,00,00,01,01

01,01,00,00,00,00,01,00,01,00,00,00,00,01,01

01,00,01,01,01,01,01,01,01,01,01,01,01,00,01

00,01,01,01,01,01,01,01,01,01,01,01,01,01,00

01,01,00,00,00,00,01,00,01,00,00,00,00,01,01

00,01,01,01,01,00,00,02,00,00,01,01,01,01,00

00,00,01,01,01,00,01,00,01,01,01,01,01,00,00

00,01,01,00,01,01,01,01,01,01,01,00,01,01,00

01,00,01,00,00,00,01,00,01,00,00,00,01,00,01

00,00,00,00,01,00,00,00,00,00,01,00,00,00,00
